regularization_type,strength,dropout_rate,learning_rate,last_epoch log, f1 score
none,0.0,0.3,0.1Epoch 50/50 - loss: 5.6060 - acc: 0.6310 - val_loss: 3.7526 - val_acc: 0.6395,0.0,0.0,0.0
none,0.0,0.3,0.01Epoch 50/50 - loss: 7.0891 - acc: 0.6361 - val_loss: 6.7636 - val_acc: 0.6463,0.2121212121212121,0.5384615384615384,0.1320754716981132
none,0.0,0.3,0.001Epoch 50/50 - loss: 2.1047 - acc: 0.7908 - val_loss: 1.9444 - val_acc: 0.6803,0.5840707964601771,0.55,0.6226415094339622
none,0.0,0.5,0.1Epoch 50/50 - loss: 6.0295 - acc: 0.6156 - val_loss: 5.9487 - val_acc: 0.6395,0.0,0.0,0.0
none,0.0,0.5,0.01Epoch 50/50 - loss: 8.5513 - acc: 0.6480 - val_loss: 6.5287 - val_acc: 0.5646,0.5294117647058824,0.43373493975903615,0.6792452830188679
none,0.0,0.5,0.001Epoch 50/50 - loss: 1.8657 - acc: 0.7874 - val_loss: 1.8273 - val_acc: 0.6803,0.6178861788617885,0.5428571428571428,0.7169811320754716
none,0.1,0.0,0.1Epoch 50/50 - loss: 4.9523 - acc: 0.6361 - val_loss: 6.3448 - val_acc: 0.6395,0.0,0.0,0.0
none,0.0,0.0,0.01Epoch 50/50 - loss: 2.9062 - acc: 0.6820 - val_loss: 3.2808 - val_acc: 0.6667,0.26865671641791045,0.6428571428571429,0.16981132075471697
none,0.0,0.0,0.001Epoch 50/50 - loss: 1.4824 - acc: 0.7534 - val_loss: 1.8005 - val_acc: 0.6395,0.32911392405063294,0.5,0.24528301886792453
none,0.0,0.3,0.1Epoch 50/50 - loss: 10.5633 - acc: 0.6276 - val_loss: 6.8770 - val_acc: 0.6395,0.0,0.0,0.0
none,0.0,0.3,0.01Epoch 50/50 - loss: 4.7857 - acc: 0.6446 - val_loss: 6.0968 - val_acc: 0.5850,0.4958677685950413,0.4411764705882353,0.5660377358490566
none,0.0,0.3,0.001Epoch 50/50 - loss: 1.3659 - acc: 0.7976 - val_loss: 1.3289 - val_acc: 0.7211,0.6019417475728155,0.62,0.5849056603773585
none,0.0,0.5,0.1Epoch 50/50 - loss: 10.9449 - acc: 0.6276 - val_loss: 6.9401 - val_acc: 0.6395,0.0,0.0,0.0
none,0.0,0.5,0.01Epoch 50/50 - loss: 8.0798 - acc: 0.6650 - val_loss: 7.6059 - val_acc: 0.5918,0.4736842105263158,0.4426229508196721,0.5094339622641509
none,0.0,0.5,0.001Epoch 50/50 - loss: 2.2621 - acc: 0.7942 - val_loss: 2.7954 - val_acc: 0.7211,0.6019417475728155,0.62,0.5849056603773585
